NAME,year,month,utility_name,total_disconnections,est_disconnections,avg_disconnection_rate,difference,PCT_DIF,mae,mape
"Allegany County, Maryland",2024,August,Columbia Gas of Maryland,53,52.30234191981789,3.3125,0.6976580801821086,-1.316336000343601,0.6976580801821086,1.316336000343601
"Allegany County, Maryland",2024,August,The Potomac Edison Company,0,0,0,0,0,0,0
"Allegany County, Maryland",2024,July,Columbia Gas of Maryland,60,58.51015091018882,3.75,1.4898490898111802,-2.4830818163519672,1.4898490898111802,2.4830818163519672
"Allegany County, Maryland",2024,July,The Potomac Edison Company,53,52.17371703830875,1.5588235294117647,0.8262829616912484,-1.5590244560212234,0.8262829616912484,1.5590244560212234
"Allegany County, Maryland",2024,June,The Potomac Edison Company,133,129.5247413691844,3.911764705882353,3.4752586308156026,-2.6129764141470697,3.4752586308156026,2.6129764141470697
"Anne Arundel County, Maryland",2024,July,Baltimore Gas and Electric Company,324,324,46.285714285714285,0,0,0,0
"Anne Arundel County, Maryland",2024,June,Baltimore Gas and Electric Company,562,561.826620608555,26.761904761904763,0.17337939144499614,-0.030850425524020668,0.17337939144499614,0.030850425524020664
"Anne Arundel County, Maryland",2024,May,Baltimore Gas and Electric Company,605,601.0122739967661,40.333333333333336,3.987726003233888,-0.6591282649973369,3.987726003233888,0.6591282649973369
"Baltimore County, Maryland",2024,July,Baltimore Gas and Electric Company,589,554.95448524549,25.608695652173914,34.04551475451001,-5.780223218083194,34.04551475451001,5.780223218083194
"Baltimore County, Maryland",2024,June,Baltimore Gas and Electric Company,1725,1617.8938872298766,78.4090909090909,107.10611277012345,-6.209050015659329,107.10611277012345,6.20905001565933
"Baltimore County, Maryland",2024,May,Baltimore Gas and Electric Company,2199,2074.230905966227,91.625,124.76909403377294,-5.67390150221796,124.76909403377294,5.67390150221796
"Baltimore city, Maryland",2024,July,Baltimore Gas and Electric Company,537,495.95992589197016,59.666666666666664,41.04007410802984,-7.6424719009366555,41.04007410802984,7.6424719009366555
"Baltimore city, Maryland",2024,June,Baltimore Gas and Electric Company,1935,1743.2862010843635,101.84210526315789,191.71379891563652,-9.907689866441164,191.71379891563652,9.907689866441164
"Baltimore city, Maryland",2024,May,Baltimore Gas and Electric Company,3313,2996.262637737473,165.65,316.73736226252686,-9.560439549125471,316.73736226252686,9.560439549125471
"Calvert County, Maryland",2021,April,Washington Gas Light Company,1,1,1,0,0,0,0
"Calvert County, Maryland",2021,June,Washington Gas Light Company,1,1,1,0,0,0,0
"Calvert County, Maryland",2021,May,Washington Gas Light Company,3,3,1.5,0,0,0,0
"Calvert County, Maryland",2024,April,Washington Gas Light Company,3,3,3,0,0,0,0
"Calvert County, Maryland",2024,August,Southern Maryland Electric Cooperative,0,0,0,0,0,0,0
"Calvert County, Maryland",2024,August,Washington Gas Light Company,10,10,5,0,0,0,0
"Calvert County, Maryland",2024,July,Baltimore Gas and Electric Company,5,5,5,0,0,0,0
"Calvert County, Maryland",2024,July,Washington Gas Light Company,1,1,1,0,0,0,0
"Calvert County, Maryland",2024,June,Baltimore Gas and Electric Company,47,43.88902545489079,11.75,3.110974545109208,-6.619094776828102,3.110974545109208,6.619094776828102
"Calvert County, Maryland",2024,June,Washington Gas Light Company,8,8,8,0,0,0,0
"Calvert County, Maryland",2024,May,Baltimore Gas and Electric Company,25,23.5716694772344,12.5,1.4283305227655987,-5.713322091062395,1.4283305227655987,5.713322091062395
"Calvert County, Maryland",2024,May,Southern Maryland Electric Cooperative,251,250.14841054799322,10.458333333333334,0.8515894520067775,-0.3392786661381584,0.8515894520067775,0.3392786661381584
"Caroline County, Maryland",2024,August,Choptank Electric Cooperative,42,39.30215271577825,3.8181818181818183,2.6978472842217514,-6.423445914813693,2.6978472842217514,6.423445914813694
"Caroline County, Maryland",2024,August,Delmarva Power & Light Company,50,47.67246125503228,7.142857142857143,2.3275387449677183,-4.655077489935437,2.3275387449677183,4.655077489935437
"Caroline County, Maryland",2024,July,Choptank Electric Cooperative,31,28.66093867733602,3.1,2.33906132266398,-7.545359105367678,2.33906132266398,7.545359105367677
"Caroline County, Maryland",2024,July,Delmarva Power & Light Company,50,47.67246125503228,7.142857142857143,2.3275387449677183,-4.655077489935437,2.3275387449677183,4.655077489935437
"Caroline County, Maryland",2024,June,Choptank Electric Cooperative,48,45.71970859607392,5.333333333333333,2.2802914039260784,-4.750607091512664,2.2802914039260784,4.750607091512663
"Caroline County, Maryland",2024,June,Delmarva Power & Light Company,57,54.00858697383964,7.125,2.991413026160359,-5.248093028351507,2.991413026160359,5.248093028351507
"Caroline County, Maryland",2024,May,Choptank Electric Cooperative,42,39.85504795731481,5.25,2.1449520426851905,-5.107028673059977,2.1449520426851905,5.107028673059977
"Caroline County, Maryland",2024,May,Delmarva Power & Light Company,85,80.09760323247966,9.444444444444445,4.902396767520344,-5.767525608847463,4.902396767520344,5.767525608847463
"Carroll County, Maryland",2024,August,The Potomac Edison Company,0,0,0,0,0,0,0
"Carroll County, Maryland",2024,July,Baltimore Gas and Electric Company,1,1,1,0,0,0,0
"Carroll County, Maryland",2024,July,The Potomac Edison Company,35,24.16976713574812,2.0588235294117645,10.83023286425188,-30.943522469291086,10.83023286425188,30.943522469291086
