NAME,year,month,utility_name,total_disconnections,est_disconnections,avg_disconnection_rate,difference,PCT_DIF,mae,mape
"Adams County, Washington",2019,April,Avista Utilities,40,34.53737951763703,10,5.462620482362972,-13.65655120590743,5.462620482362972,13.65655120590743
"Adams County, Washington",2019,August,Avista Utilities,13,11.533289981358651,3.25,1.4667100186413489,-11.282384758779607,1.4667100186413489,11.282384758779607
"Adams County, Washington",2019,December,Avista Utilities,29,26.01136110749845,7.25,2.9886388925015517,-10.305651353453626,2.9886388925015517,10.305651353453626
"Adams County, Washington",2019,July,Avista Utilities,27,22.510891461106056,6.75,4.4891085388939445,-16.626327921829425,4.4891085388939445,16.62632792182942
"Adams County, Washington",2019,June,Avista Utilities,6,5.256207280241615,1.5,0.7437927197583853,-12.396545329306422,0.7437927197583853,12.396545329306424
"Adams County, Washington",2019,March,Avista Utilities,17,15.647857689917776,4.25,1.3521423100822236,-7.953778294601315,1.3521423100822236,7.953778294601316
"Adams County, Washington",2019,May,Avista Utilities,24,20.88803919018511,6,3.1119608098148888,-12.966503374228703,3.1119608098148888,12.966503374228703
"Adams County, Washington",2019,November,Avista Utilities,8,7.068912298955217,2,0.9310877010447829,-11.638596263059785,0.9310877010447829,11.638596263059785
"Adams County, Washington",2019,October,Avista Utilities,10,8.214592274678111,2.5,1.785407725321889,-17.85407725321889,1.785407725321889,17.85407725321889
"Adams County, Washington",2019,September,Avista Utilities,13,11.877576913628417,3.25,1.1224230863715832,-8.63402374131987,1.1224230863715832,8.63402374131987
"Adams County, Washington",2020,March,Avista Utilities,21,18.2518547419835,5.25,2.7481452580165,-13.086405990554763,2.7481452580165,13.086405990554761
"Adams County, Washington",2020,March,Cascade Natural Gas,1,0.8214592274678112,1,0.1785407725321888,-17.854077253218883,0.1785407725321888,17.854077253218883
"Adams County, Washington",2021,December,Avista Utilities,0,0,0,0,0,0,0
"Adams County, Washington",2021,November,Avista Utilities,0,0,0,0,0,0,0
"Adams County, Washington",2022,April,Avista Utilities,2,1.6429184549356224,0.5,0.3570815450643776,-17.854077253218883,0.3570815450643776,17.854077253218883
"Adams County, Washington",2022,April,Cascade Natural Gas,0,0,0,0,0,0,0
"Adams County, Washington",2022,August,Avista Utilities,4,3.2858369098712448,1,0.7141630901287552,-17.854077253218883,0.7141630901287552,17.854077253218883
"Adams County, Washington",2022,August,Cascade Natural Gas,0,0,0,0,0,0,0
"Adams County, Washington",2022,December,Avista Utilities,7,5.915960752012254,1.75,1.0840392479877456,-15.48627497125351,1.0840392479877456,15.486274971253508
"Adams County, Washington",2022,December,Cascade Natural Gas,0,0,0,0,0,0,0
"Adams County, Washington",2022,February,Avista Utilities,4,3.4515830696088208,1,0.5484169303911792,-13.71042325977948,0.5484169303911792,13.71042325977948
"Adams County, Washington",2022,February,Cascade Natural Gas,0,0,0,0,0,0,0
"Adams County, Washington",2022,January,Avista Utilities,4,3.6301238421410096,1,0.3698761578589904,-9.24690394647476,0.3698761578589904,9.24690394647476
"Adams County, Washington",2022,January,Cascade Natural Gas,0,0,0,0,0,0,0
"Adams County, Washington",2022,July,Avista Utilities,0,0,0,0,0,0,0
"Adams County, Washington",2022,July,Cascade Natural Gas,0,0,0,0,0,0,0
"Adams County, Washington",2022,June,Avista Utilities,2,1.8086646146731984,0.5,0.1913353853268016,-9.566769266340081,0.1913353853268016,9.566769266340081
"Adams County, Washington",2022,June,Cascade Natural Gas,2,1.6429184549356224,2,0.3570815450643776,-17.854077253218883,0.3570815450643776,17.854077253218883
"Adams County, Washington",2022,March,Avista Utilities,4,3.4643776824034336,1,0.5356223175965664,-13.39055793991416,0.5356223175965664,13.39055793991416
"Adams County, Washington",2022,March,Cascade Natural Gas,0,0,0,0,0,0,0
"Adams County, Washington",2022,May,Avista Utilities,6,5.1072961373390555,1.5,0.8927038626609445,-14.878397711015742,0.8927038626609445,14.878397711015742
"Adams County, Washington",2022,May,Cascade Natural Gas,0,0,0,0,0,0,0
"Adams County, Washington",2022,November,Avista Utilities,10,8.378318232395486,2.5,1.6216817676045139,-16.21681767604514,1.6216817676045139,16.21681767604514
"Adams County, Washington",2022,November,Cascade Natural Gas,1,0.8214592274678112,1,0.1785407725321888,-17.854077253218883,0.1785407725321888,17.854077253218883
"Adams County, Washington",2022,October,Avista Utilities,28,23.510891461106056,7,4.4891085388939445,-16.0325304960498,4.4891085388939445,16.0325304960498
"Adams County, Washington",2022,October,Cascade Natural Gas,0,0,0,0,0,0,0
"Adams County, Washington",2022,September,Avista Utilities,4,3.2858369098712448,1,0.7141630901287552,-17.854077253218883,0.7141630901287552,17.854077253218883
"Adams County, Washington",2022,September,Cascade Natural Gas,1,0.8214592274678112,1,0.1785407725321888,-17.854077253218883,0.1785407725321888,17.854077253218883
"Adams County, Washington",2023,April,Avista Utilities,35,30.750801288998712,8.75,4.249198711001288,-12.140567745717965,4.249198711001288,12.140567745717966
